cycle,range_bin,doppler_bin,output_hex
1334815000,41,16,ff3f002e
1334825000,41,17,01c3ff74
1334835000,41,18,fecd014a
1334845000,41,19,003efe1a
1334855000,41,20,000301e3
1334865000,41,21,ffe7fe5f
1334875000,41,22,fefd017e
1334885000,41,23,0107ff47
1334895000,41,24,ff6b0089
1334905000,41,25,00d5febd
1334915000,41,26,ff83019a
1334925000,41,27,00130004
1334935000,41,28,001bfef4
1334945000,41,29,ff2700f0
1334955000,41,30,0368fea0
1334965000,41,31,fd2c01aa
1340035000,42,0,00fb01d8
1340045000,42,1,0070feaf
1340055000,42,2,ffa200d5
1340065000,42,3,fef4fde5
1340075000,42,4,01c40287
1340085000,42,5,fe7bfdc6
1340095000,42,6,00e70181
1340105000,42,7,fd3bff23
1340115000,42,8,04290096
1340125000,42,9,fcfaff49
1340135000,42,10,0184001a
1340145000,42,11,ff3eff90
1340155000,42,12,ff4a01f8
1340165000,42,13,0124fde0
1340175000,42,14,ff760173
1340185000,42,15,ff8500c6
1340195000,42,16,0037fef8
1340205000,42,17,00e0ff37
1340215000,42,18,ffbe012d
1340225000,42,19,0022ffaf
1340235000,42,20,ff06ffe3
1340245000,42,21,00edffa6
1340255000,42,22,ffab004b
1340265000,42,23,ffdd006f
1340275000,42,24,0051ffc2
1340285000,42,25,00da0049
1340295000,42,26,fd6cffbc
1340305000,42,27,0260008c
1340315000,42,28,fea0ffa6
1340325000,42,29,0058ffb4
1340335000,42,30,02380109
1340345000,42,31,fdb7fe30
1345415000,43,0,009500a0
1345425000,43,1,fff1feb5
1345435000,43,2,006e01e8
1345445000,43,3,fffcfd11
1345455000,43,4,ff5501fd
1345465000,43,5,ff01feb2
1345475000,43,6,02e401f0
1345485000,43,7,fc88fe99
1345495000,43,8,026802bf
1345505000,43,9,ff4afd64
1345515000,43,10,005d0119
1345525000,43,11,00660013
1345535000,43,12,fec8ff48
1345545000,43,13,0169009e
1345555000,43,14,ff28ff9c
1345565000,43,15,002500d9
1345575000,43,16,ff9ffdec
1345585000,43,17,01a70287
1345595000,43,18,ffceff3e
1345605000,43,19,ff9efe81
1345615000,43,20,ffd501c3
1345625000,43,21,0099ff30
1345635000,43,22,feb2ff32
1345645000,43,23,001200b7
1345655000,43,24,01a4fef1
1345665000,43,25,fe7200dc
1345675000,43,26,0063ff9d
1345685000,43,27,ff04009f
1345695000,43,28,018effac
1345705000,43,29,fe01ff4c
1345715000,43,30,03460176
1345725000,43,31,fd25ff4b
1350795000,44,0,0248fc43
1350805000,44,1,fe7f0098
1350815000,44,2,00f80040
1350825000,44,3,ff5affe9
1350835000,44,4,00d20005
1350845000,44,5,fe8fff57
1350855000,44,6,fff3010a
1350865000,44,7,0034fecd
1350875000,44,8,0000020b
1350885000,44,9,ff6dfeba
1350895000,44,10,00df00ce
1350905000,44,11,ff95fe91
1350915000,44,12,02290234
1350925000,44,13,fcb2fe5c
1350935000,44,14,01a001cd
1350945000,44,15,002bfec1
1350955000,44,16,0038011b
1350965000,44,17,0049fe88
1350975000,44,18,fee4010e
1350985000,44,19,016afee5
1350995000,44,20,ffba006f
1351005000,44,21,ff35fff3
1351015000,44,22,008fffaa
1351025000,44,23,00380005
1351035000,44,24,000800c3
1351045000,44,25,ff1fff7a
1351055000,44,26,017500e4
1351065000,44,27,fed7fe99
1351075000,44,28,00430044
1351085000,44,29,ff3e005e
1351095000,44,30,022efd17
1351105000,44,31,fd31056d
1356175000,45,0,014701d7
1356185000,45,1,ff33fe60
1356195000,45,2,fedd0065
1356205000,45,3,01d2ff7f
1356215000,45,4,fe4cffee
1356225000,45,5,0161ffe3
1356235000,45,6,febf0089
1356245000,45,7,ff680018
1356255000,45,8,011600a9
1356265000,45,9,0130fea0
1356275000,45,10,fd28015b
1356285000,45,11,024cff34
1356295000,45,12,ff23007b
1356305000,45,13,00adffd5
1356315000,45,14,ff13012f
1356325000,45,15,ff92fe13
1356335000,45,16,01d5010f
1356345000,45,17,fe43000e
1356355000,45,18,019dff71
1356365000,45,19,fea4ffd3
1356375000,45,20,0174014c
1356385000,45,21,feb1fe27
1356395000,45,22,008b01bb
1356405000,45,23,ffcaffa4
1356415000,45,24,008a001d
1356425000,45,25,ff2effb6
1356435000,45,26,01b6005f
1356445000,45,27,fe26fe76
1356455000,45,28,00d90267
1356465000,45,29,0085fd1d
1356475000,45,30,00230165
1356485000,45,31,feecff45
1361555000,46,0,01750115
1361565000,46,1,fd5cff36
1361575000,46,2,03030152
1361585000,46,3,fdf8ff20
1361595000,46,4,0013ffc4
1361605000,46,5,ffd4007c
1361615000,46,6,00ee005c
1361625000,46,7,fdb5fedc
1361635000,46,8,02380232
1361645000,46,9,ff18fdac
1361655000,46,10,ffa80148
1361665000,46,11,0161004a
1361675000,46,12,ffda003e
1361685000,46,13,ff96ffb5
1361695000,46,14,0003ffa6
1361705000,46,15,ffddfffb
1361715000,46,16,007fffc1
1361725000,46,17,fe7c0126
1361735000,46,18,01d5fe5e
1361745000,46,19,ff1e022a
1361755000,46,20,fffbfe2a
1361765000,46,21,01bc0058
1361775000,46,22,fdec0040
1361785000,46,23,016300b6
1361795000,46,24,ffd0fe58
1361805000,46,25,ff5800e4
1361815000,46,26,00b4009c
1361825000,46,27,feb5ff84
1361835000,46,28,019c003c
1361845000,46,29,ff1afde3
1361855000,46,30,013f0292
1361865000,46,31,fe87fdd3
1366935000,47,0,ff63ff24
1366945000,47,1,01100044
1366955000,47,2,ffe0ffd9
1366965000,47,3,ff1200df
1366975000,47,4,004ffeee
1366985000,47,5,0062ff40
1366995000,47,6,fe8d014c
1367005000,47,7,00ae0039
1367015000,47,8,0038ffc8
1367025000,47,9,00cd0078
1367035000,47,10,fe16006e
